"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0025111+FBgn0003360:001",558.783902245903,2.8576382863873,0.160363709252723,17.819731781608,4.96741076016405e-71,1.88895728976758e-66
"FBgn0025111+FBgn0003360:007",552.320806143476,-3.07990891566935,0.198664517500991,-15.5030649378744,3.30731414307784e-54,6.28836174594105e-50
"FBgn0025111+FBgn0003360:005",1594.34950937017,-3.37403582018899,0.228467897193681,-14.7680959190896,2.35266041069942e-49,2.98215391458889e-45
"FBgn0039155:002",143.607505415869,-4.68754849703428,0.350256631073269,-13.3831827328166,7.58294177809738e-41,7.20891317489273e-37
"FBgn0035085:001",291.733743137059,-2.55811601771222,0.202384678539364,-12.6398699554456,1.27264263522355e-36,9.67895629792921e-33
"FBgn0034736:002",110.870422868423,-3.36438947360213,0.285408361574749,-11.7879849596523,4.50183340339178e-32,2.85318698051299e-28
"FBgn0005630:021",549.952474811023,2.260455412408,0.194998801654018,11.5921502759729,4.51649509577622e-31,2.45355370010118e-27
"FBgn0035001:004",445.218502140671,-1.84073287899091,0.159807395084666,-11.5184461771352,1.06514429309042e-30,5.06303025416868e-27
"FBgn0039155:005",104.446178146362,-4.45510446325489,0.388165842404436,-11.4773222591107,1.71510243771225e-30,7.24668893320931e-27
"FBgn0029167:013",159.839993318736,-2.5593164108989,0.223414558599221,-11.4554594246027,2.20789449622177e-30,8.39596040078251e-27
"FBgn0010909:010",434.578120099659,-2.33380995757429,0.205873653686563,-11.3361273566721,8.69057601582229e-30,3.00433212866976e-26
"FBgn0029167:015",241.420111274779,-2.15010765802206,0.190384783985702,-11.293484768108,1.41320305092886e-29,4.47832270147264e-26
"FBgn0025111+FBgn0003360:003",176.327956642846,2.87255908478698,0.262037268710635,10.9624066031581,5.79378214612152e-28,1.69477041285049e-24
"FBgn0086056+FBgn0020910:004",420.320833446004,11.66161836043,1.07915100798106,10.8062896426769,3.21408435392927e-27,8.73014183763345e-24
"FBgn0029896:001",142.917034960819,-2.52854907527856,0.235244558007223,-10.7485975305789,6.01695075576671e-27,1.52537724259694e-23
"FBgn0261451:031",66.659094375602,3.81750790395807,0.364714747829586,10.4671059414954,1.22325712037771e-25,2.90729990728771e-22
"FBgn0039155:004",72.3136076176408,-4.79652682375791,0.46541241036077,-10.3059710419837,6.62194998480004e-25,1.48125230630583e-21
"FBgn0261552:013",533.570800541315,-2.10824457037216,0.207981744486139,-10.1366808687032,3.79784860984653e-24,8.02337717147966e-21
"FBgn0000071:004",158.946651577589,2.65203573786448,0.263616223929165,10.0602144220725,8.28177720920619e-24,1.65753232597097e-20
"FBgn0261451:032",53.1001667549796,4.88576246046166,0.500016201643759,9.77120830165132,1.49656426675432e-22,2.84549246859332e-19
"FBgn0029167:012",141.931946043791,-2.37607252138514,0.247054797897287,-9.61759310731131,6.73895416412761e-22,1.22029623809181e-18
"FBgn0053558:006",88.8529278061355,2.34786837242241,0.246855537519749,9.51110271218676,1.88652014510279e-21,3.26085007081017e-18
"FBgn0086056+FBgn0020910:003",149.42850087744,9.4910770462084,1.02284177386481,9.27912536300345,1.70875443444389e-20,2.82516542950425e-17
"FBgn0029167:011",82.1839810232668,-2.83666090731369,0.309031753091315,-9.17918912518834,4.34349737306389e-20,6.88209060856253e-17
"FBgn0025111+FBgn0003360:006",275.246593836916,-3.08969228519723,0.34100245908841,-9.06061584850972,1.29716083473837e-19,1.97308540250384e-16
"FBgn0043841:001",475.016240876821,2.19204442415489,0.243015664285393,9.02017748773839,1.8778481046817e-19,2.74649730295119e-16
"FBgn0026562:001",18903.3494852494,-2.3765801738348,0.265094569537707,-8.96502775586564,3.10202727562904e-19,4.36891819297576e-16
"FBgn0034072:008",141.819510760536,2.29400864498798,0.256962947190427,8.927390777815,4.36174440130846e-19,5.92371622673418e-16
"FBgn0035189:001",93.7131082545151,3.02393654644936,0.340622739232683,8.87767080160694,6.82749498706626e-19,8.95272937493684e-16
"FBgn0261451:040",53.6241707457266,2.89961190613806,0.32796486037199,8.84122738896239,9.46727590161403e-19,1.20004033570226e-15
"FBgn0261552:014",436.796678448142,-2.07988127911386,0.237536836153925,-8.7560368016609,2.02235710172739e-18,2.48077979056088e-15
"FBgn0029167:019",98.5366501762846,-2.20080151408042,0.252115759800819,-8.72932939939625,2.56187072392e-18,3.04438306307831e-15
