"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"SLC12A1",34.3078661863308,-1.17262400924681,0.217946682216058,-5.3803251204547,7.43514360221086e-08,5.33021769619015e-05,1.43982022191843
"DKK4",10.8695092859027,-1.01191432468738,0.243375594484227,-4.15782990415236,3.21285100320246e-05,0.00483847676177184,1.15325777828708
"SIM1",2.30151448761806,-1.28798648546182,0.38683234900646,-3.32957284666053,0.000869793081962069,0.0472403221123826,0.53081734869188
"SEMG1",2434.18384970366,-1.54546225974046,0.452572282830091,-3.41484071909165,0.00063819319541084,0.018985409647928,2.05796735517891
"CEACAM8",0.537611024726537,-1.11894665688981,0.326680980677757,-3.42519682219748,0.000614354179857922,1,0
"SPINK2",21.5927660863947,-1.15781267665918,0.21758087523136,-5.32129800207873,1.03029469050392e-07,6.21697909382067e-05,1.67704894506228
"ADAM30",0.555823200968003,-1.17599641829759,0.409785657111636,-2.86978423448633,0.00410751978552119,1,0
"UGT2A3",1.32056166470104,-1.05081942085546,0.525587748564348,-1.999322517935,0.0455734692978765,0.395429511350748,0.530131993540623
"GAD2",0.60289759694876,-1.06051799232943,0.426812825887113,-2.48473787104497,0.0129646859916055,0.226998759817687,0.421029280033865
"KCNJ16",17.3961680832923,-1.13793546766935,0.222128762485857,-5.12286412139806,3.00929212149486e-07,0.000195759788460119,1.18413145413618
"PAGE5",0.865781492111456,-1.07300046648725,0.299033527794678,-3.58822796360144,0.000332933131279019,0.0582732970790312,0.138397350881669
"GIP",0.42001153417114,-1.17654180745514,0.560150986214047,-2.10040120683739,0.0356935629513227,1,0
"CCDC105",0.407776148738219,-1.05862640764139,0.403126289321194,-2.62604160454025,0.00863842580521515,1,0
"NPHS1",2.91377638318986,-1.13857909513145,0.228770936296761,-4.97693943803458,6.4597521803628e-07,0.000580378955706175,0.611097076353375
"KRT84",1.09654502491523,-1.2780153348448,0.340068399904384,-3.75811258912659,0.000171199849780487,0.0204545763127722,0.494929015901026
"ALB",192.762811187018,-1.07974164800846,0.230193511088523,-4.69058247082054,2.72428392890562e-06,0.000698876756994436,2.03212507978018
"SLC35G3",0.948198841487747,-1.52388521344327,0.405510476637864,-3.75794289232176,0.000171315965936584,0.021665366197405,0.446986994137115
"SLC30A8",5.33782351309892,-1.18379542375381,0.254691455872915,-4.64795891835686,3.35235656265811e-06,0.00126622862174359,0.996776310846131
"CLDN2",23.2039328138165,-1.01198034442834,0.227449892849306,-4.44924520188196,8.61725921922699e-06,0.00176793388415502,1.67704894506228
"WDR72",48.2000509081841,-1.09440419259865,0.260475503471472,-4.20156282649633,2.65078658588373e-05,0.00312458654832417,2.15685041642355
"TAC3",3.56407069516702,-1.31912946803971,0.215398382896606,-6.12413821450515,9.11757270019001e-10,2.30125262732045e-06,1.02239519788125
"C3P1",1.74150079936504,-1.32794435747697,0.419809346180726,-3.16320817904157,0.00156040704555554,0.0633656857903164,0.560198219422388
"GBX2",2.75363911832493,-1.19958844560256,0.285331548141663,-4.20419141667078,2.62017132802834e-05,0.00655058909365239,0.568537995857626
"KRT20",18.6071122555474,-1.00501095198292,0.234210267287288,-4.29106274299304,1.77820059277946e-05,0.00283538190202196,1.67704894506228
"FGB",3.7895157555261,-1.11168025046384,0.413818405637683,-2.68639634032412,0.0072227355908107,0.143104672975798,0.544738665103751
"COL6A5",2.09275131279747,-1.40609152306966,0.299830750685159,-4.68961745870469,2.73716278053987e-06,0.00167885533588286,0.568537995857626
