"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gen_reg"
"ENSG00000225972.1",402.400135873946,2.74357227168704,0.25836867960044,10.618826848246,2.43603275763388e-26,8.67057139424627e-22,"up"
"ENSG00000143632.13",772.439606119834,2.41686965509147,0.2666948873283,9.0623021659816,1.27725799353941e-19,2.27307218820242e-15,"up"
"ENSG00000197893.12",205.81611772144,2.58000162390375,0.301906244902867,8.54570472609408,1.27754272345741e-17,1.51571927186732e-13,"up"
"ENSG00000175832.11",340.986603442384,1.65070238839428,0.201499883012234,8.19207616261524,2.56758066432525e-16,2.28469746463322e-12,"up"
"ENSG00000168334.8",75.1630281244091,2.35854063023321,0.290122307091495,8.12947013236526,4.31170979282787e-16,3.06933373312245e-12,"up"
"ENSG00000173991.5",282.339730905525,1.64413049385707,0.21724702341478,7.56802311034666,3.78946586108978e-14,2.24797430656281e-10,"up"
"ENSG00000077522.11",222.034985365159,1.80713759948728,0.244685931064289,7.38553946124701,1.51836494802409e-13,7.72045194214591e-10,"up"
"ENSG00000183090.5",13.1024966537327,1.7692837422237,0.247692245916736,7.14307279049205,9.12672626628912e-13,4.06059459995036e-09,"up"
"ENSG00000170290.3",69.5479579554302,2.53674274761552,0.359925002161785,7.04797591825884,1.81539046918362e-12,7.17946588551694e-09,"up"
"ENSG00000142661.17",57.7958904937968,1.36937297633008,0.209183832784464,6.54626582801473,5.89935343765242e-11,2.08016208913422e-07,"up"
"ENSG00000155886.10",47.8791501038126,1.39611857445623,0.213688995122158,6.53341354176017,6.42873120570798e-11,2.08016208913422e-07,"up"
"ENSG00000166317.10",37.2156751887567,1.60865726064025,0.24737075282729,6.50302124343447,7.87226737020957e-11,2.33498010423224e-07,"up"
"ENSG00000049089.12",13773.4389326322,1.15986466983717,0.178878544927964,6.48409047772755,8.92686422524497e-11,2.44410675668573e-07,"up"
"ENSG00000109063.13",717.389921500292,1.15058893328578,0.180107940348692,6.38832985962874,1.67707277044817e-10,4.26371793704013e-07,"up"
"ENSG00000262902.1",160.41757004457,1.17239580011412,0.185847369872908,6.30837983295574,2.81971530254882e-10,6.690808450908e-07,"up"
"ENSG00000233508.2",17.6604039421449,1.76451748366003,0.280635099930043,6.28758656383286,3.22439227848688e-10,7.17286214801147e-07,"up"
"ENSG00000239474.5",137.696996652596,1.20946528093854,0.193599263954902,6.24726177275279,4.17710676371705e-10,8.74563300241064e-07,"up"
"ENSG00000228674.4",3.67953872930052,1.65125901320256,0.269342013502588,6.13071459490927,8.74852246884932e-10,1.67879771417852e-06,"up"
"ENSG00000166863.10",3.56407069516702,-1.31912946803971,0.215398382896606,-6.12413821450515,9.11757270019001e-10,1.67879771417852e-06,"down"
"ENSG00000233125.2",2.44879932351182,-1.28031187108573,0.209245225574253,-6.11871485990678,9.43330269535312e-10,1.67879771417852e-06,"down"
"ENSG00000178222.11",182.604163415202,0.904130318710116,0.150097281163021,6.02362888724241,1.70549176695841e-09,2.89064611720718e-06,"up"
"ENSG00000170959.13",21.5045577350882,-0.803449536690677,0.135117451383864,-5.94630470351389,2.74263403503729e-09,4.4372078731401e-06,"down"
"ENSG00000157856.9",10.5318296343669,1.2022888641219,0.204100693107193,5.89066526829706,3.84643973498353e-09,5.95244910814211e-06,"up"
"ENSG00000121005.7",3159.12445050628,-0.948128098808173,0.162208998024846,-5.84510175362124,5.0625871198701e-09,7.50802763989735e-06,"down"
"ENSG00000073737.15",59.5542556599227,-0.803912132240028,0.138378865697496,-5.80950080915843,6.26593913458059e-09,8.92094286468507e-06,"down"
"ENSG00000187912.10",11.2649359877004,-1.02879217827634,0.180439903538814,-5.70157796640053,1.18703420257127e-08,1.5112219222873e-05,"down"
"ENSG00000265579.1",8.71623021823971,1.80269218655548,0.316181368101902,5.70144976403065,1.18792745504416e-08,1.5112219222873e-05,"up"
"ENSG00000159173.17",409.209646083569,0.898032759161583,0.157597419171103,5.69827071969111,1.21028759465466e-08,1.5112219222873e-05,"up"
"ENSG00000231705.1",4.1671737894762,1.28492839351789,0.225610648497434,5.69533575686923,1.23129367421492e-08,1.5112219222873e-05,"up"
"ENSG00000174407.10",6.85113692425195,1.41333743120205,0.249884212423771,5.65596928870886,1.54969178142304e-08,1.83860598587301e-05,"up"
"ENSG00000172399.5",33.0077308755001,1.37324748615856,0.243151772503998,5.64769679454415,1.62611643323883e-08,1.86704394220225e-05,"up"
"ENSG00000172000.6",29.5183894738728,1.28933882579665,0.229565317910798,5.61643560765417,1.94936848479153e-08,2.16824601497452e-05,"up"
"ENSG00000105048.15",332.00192627659,1.88695478549396,0.336645083342081,5.60517553608985,2.08044009400145e-08,2.24391225047859e-05,"up"
"ENSG00000092054.12",918.773848711169,2.34999789163366,0.419900379828365,5.59656052846209,2.18646008846891e-08,2.26404267637719e-05,"up"
"ENSG00000279092.1",3.66691132331379,1.12851287174784,0.201757006885128,5.59342591947931,2.2263224137668e-08,2.26404267637719e-05,"up"
"ENSG00000174145.7",9.84029979974237,1.69963065440811,0.305414423741945,5.56499799054739,2.6215543133694e-08,2.55712532356754e-05,"up"
"ENSG00000167434.8",127.65977956597,0.932162868573663,0.167577546202412,5.5625761905341,2.65820911336496e-08,2.55712532356754e-05,"up"
"ENSG00000110436.10",122.636011319435,-0.777847936496973,0.140279704800554,-5.54497842437647,2.93990419941318e-08,2.75368447815035e-05,"down"
"ENSG00000156885.5",19.4046357186752,1.89457518813454,0.346318174661899,5.47062016015812,4.48463528083697e-08,4.09286214232898e-05,"up"
"ENSG00000131095.10",39.6078459197846,1.18528001852154,0.21760167271623,5.44701703680024,5.12215587760415e-08,4.55782235378911e-05,"up"
"ENSG00000114854.6",292.407484968369,1.14917767660282,0.212043618777814,5.41953435442432,5.97544670751843e-08,5.18741645513911e-05,"up"
"ENSG00000133454.14",34.2690706611282,0.972667728745633,0.179732116606298,5.41176361304559,6.24070373868077e-08,5.28869924216344e-05,"up"
"ENSG00000173110.7",175.694714483548,1.00566189820158,0.186713731341643,5.38611644133153,7.19963300779776e-08,5.87401787131781e-05,"up"
"ENSG00000188958.8",34.0709358352702,-1.01103453305519,0.187784289032353,-5.38402087983516,7.28400485732927e-08,5.87401787131781e-05,"down"
"ENSG00000074803.16",34.3078661863308,-1.17262400924681,0.217946682216058,-5.3803251204547,7.43514360221086e-08,5.87401787131781e-05,"down"
"ENSG00000158022.6",30.979175382817,1.08939450736315,0.202618593080404,5.37657719758646,7.59151580593429e-08,5.87401787131781e-05,"up"
"ENSG00000082196.19",467.444304544554,0.830578947907451,0.155375716228599,5.34561621383258,9.01099594871328e-08,6.7149625630237e-05,"up"
"ENSG00000166342.17",29.5312801382373,1.50690930908951,0.281943514239859,5.34472060175687,9.05566271528497e-08,6.7149625630237e-05,"up"
"ENSG00000104879.4",360.947074270752,1.21334446379318,0.227200436985883,5.34041430505072,9.2734405590217e-08,6.72382034058198e-05,"up"
"ENSG00000184164.13",3560.17681996692,0.382503306335874,0.0716689935685512,5.33708215073524,9.44542514059222e-08,6.72382034058198e-05,"up"
"ENSG00000128040.9",21.5927660863947,-1.15781267665918,0.21758087523136,-5.32129800207873,1.03029469050392e-07,7.19044684688356e-05,"down"
"ENSG00000225523.2",5.56152797854409,-1.6415302089448,0.309671449896319,-5.30087681474802,1.15247833935594e-07,7.88849260244151e-05,"down"
"ENSG00000203805.9",145.960929765486,0.848569105207765,0.161571535774987,5.25197152541477,1.50479729966835e-07,0.000101057076013388,"up"
"ENSG00000184956.14",1640.66140587884,1.78636610405127,0.341189444988197,5.23570154438121,1.64359361385618e-07,0.000108334124996265,"up"
"ENSG00000101306.9",9.87492206285518,1.17194908518737,0.225144854671235,5.2053114289407,1.93671527493785e-07,0.000124423215833042,"up"
"ENSG00000164932.11",274.265809895476,-0.69172128011632,0.132938472419204,-5.2033190056154,1.95760404760778e-07,0.000124423215833042,"down"
"ENSG00000166794.4",21179.479448877,0.346447832853962,0.0669856264144068,5.17197272606904,2.31635400422288e-07,0.000143095565544527,"up"
"ENSG00000122133.15",28.6168337561952,2.62049201018594,0.506793260518668,5.17073176447542,2.33179074581591e-07,0.000143095565544527,"up"
"ENSG00000171759.7",111.686859246862,1.31984638817899,0.256027989012351,5.1550863375149,2.53514095877572e-07,0.000152937749399499,"up"
"ENSG00000272783.1",62.0744693332401,0.980442410535404,0.190457991800371,5.14781449319836,2.63538923004255e-07,0.000156335681441508,"up"
"ENSG00000153822.12",17.3961680832923,-1.13793546766935,0.222128762485857,-5.12286412139806,3.00929212149486e-07,0.000175589728656338,"down"
"ENSG00000267577.1",16.4979230709792,1.93396844113961,0.377924947959489,5.11733467605563,3.09883476768552e-07,0.000177898106268114,"up"
"ENSG00000206651.1",0.95173960934708,-1.43630457201571,0.28133708861629,-5.10527985869172,3.30305312416815e-07,0.000185605000808308,"down"
"ENSG00000277157.1",26.0305531858993,0.761989931848238,0.149451872037233,5.09856398224576,3.42239855120583e-07,0.000185605000808308,"up"
"ENSG00000162981.13",6449.89242962366,-0.603103803969394,0.118310275183373,-5.09764517946241,3.43904648712394e-07,0.000185605000808308,"down"
"ENSG00000203772.7",348.886795829121,0.496038057725556,0.097310048637079,5.09750087142127,3.44166832055413e-07,0.000185605000808308,"up"
"ENSG00000186439.11",52.6657145161709,1.66849701684339,0.328942895763322,5.07229989865443,3.9303633187997e-07,0.000208796151650803,"up"
"ENSG00000186340.13",1793.62184974892,-0.625419420567424,0.1234047880889,-5.06803204521431,4.01949746995152e-07,0.000210391137423507,"down"
"ENSG00000139914.6",63.9865867681275,0.631340810006868,0.124651427108172,5.06485023600244,4.08721545199302e-07,0.000210835158815634,"up"
"ENSG00000120068.6",11.9914582505687,-0.768399586104697,0.151807252932776,-5.06167901243139,4.15580277983082e-07,0.000211310697632169,"down"
"ENSG00000204977.8",2088.08798265154,0.251167072164247,0.0497384996200207,5.04975168296287,4.42384738333837e-07,0.000219923945810679,"up"
"ENSG00000074276.9",11.4705122162986,-0.719567131729869,0.14252584721397,-5.04867815765098,4.44877478671899e-07,0.000219923945810679,"down"
"ENSG00000268307.1",109.437058205539,0.606208063230721,0.120561446896855,5.02820826088257,4.95084018031848e-07,0.0002413907596412,"up"
"ENSG00000180209.10",44.8020554669604,1.08191925978285,0.215329885195505,5.02447330430025,5.0481601069739e-07,0.000242809679307462,"up"
"ENSG00000129596.4",864.601078785444,0.961375398522947,0.191468660019975,5.02105879062741,5.13874267222511e-07,0.000243831814449757,"up"
"ENSG00000213694.3",1413.41033787992,-0.52318527362645,0.10425038401634,-5.01854528942981,5.20642202067303e-07,0.000243831814449757,"down"
"ENSG00000188315.6",754.270522356037,0.224770254368609,0.0451292254767243,4.98059188905282,6.3390094352644e-07,0.000293018653025151,"up"
"ENSG00000161270.18",2.91377638318986,-1.13857909513145,0.228770936296761,-4.97693943803458,6.4597521803628e-07,0.000294771742763658,"down"
"ENSG00000130528.10",161.454166472049,0.728952590318793,0.146948297307816,4.96060589794955,7.02736376760738e-07,0.000316613871620822,"up"
"ENSG00000145920.13",41.1944763460777,0.904257693044354,0.183087868853566,4.93892740522082,7.85534468949648e-07,0.00034949410441656,"up"
"ENSG00000125459.13",679.387708404664,0.236865614094282,0.0482710521970062,4.90699090476781,9.24843200502539e-07,0.00040639437080848,"up"
"ENSG00000167861.14",15201.2016799747,0.299722062389078,0.0611254240328792,4.90339440799393,9.41945867038958e-07,0.000408861942018508,"up"
"ENSG00000168530.14",178.22790071805,2.66562462200374,0.544639151579074,4.89429490016515,9.86588058336504e-07,0.00042118140958274,"up"
"ENSG00000168329.12",255.273975609045,-0.59302659233737,0.121230374506775,-4.89173274231061,9.99521071062358e-07,0.00042118140958274,"down"
"ENSG00000079257.6",1155.77076737724,-0.518676558966396,0.106058091749502,-4.89049492038248,1.00582754515025e-06,0.00042118140958274,"down"
"ENSG00000262543.1",17.7320163955258,-0.878810403472562,0.180007936953481,-4.88206474862089,1.04980771201079e-06,0.000434486115041861,"down"
"ENSG00000104722.12",60.9412108360254,1.08599415452728,0.223094782105159,4.86785994849211,1.12813230076059e-06,0.00046153578139048,"up"
"ENSG00000198952.8",7215.49950211745,0.191810297106296,0.0395475918690261,4.85011319378267,1.23391037952979e-06,0.000499074683393227,"up"
"ENSG00000177354.10",13.8127266824984,1.6511467773435,0.341179083546966,4.83953107610775,1.30145840685193e-06,0.000520481000843602,"up"
"ENSG00000272908.1",149.255326497933,0.976030501672234,0.202364533815925,4.82313023565707,1.41322628664987e-06,0.000558899591341432,"up"
"ENSG00000214097.4",4.08997210193513,1.22492661730756,0.254966372269567,4.80426734868585,1.55319181823958e-06,0.00060750281743518,"up"
"ENSG00000186038.8",3.64175673096457,-0.899493932514395,0.187325342557122,-4.80177385630623,1.57266242063286e-06,0.000608432321060712,"down"
"ENSG00000160678.10",123.199201640573,0.627734595172885,0.13083151093808,4.798038260599,1.60227177193817e-06,0.000613222141705327,"up"
