,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000267577.1,16.49792307,1.933968441,0.377924948,5.117334676,3.10E-07,0.000177898
ENSG00000206651.1,0.951739609,-1.436304572,0.281337089,-5.105279859,3.30E-07,0.000185605
ENSG00000277157.1,26.03055319,0.761989932,0.149451872,5.098563982,3.42E-07,0.000185605
ENSG00000162981.13,6449.89243,-0.603103804,0.118310275,-5.097645179,3.44E-07,0.000185605
ENSG00000203772.7,348.8867958,0.496038058,0.097310049,5.097500871,3.44E-07,0.000185605
ENSG00000186439.11,52.66571452,1.668497017,0.328942896,5.072299899,3.93E-07,0.000208796
ENSG00000186340.13,1793.62185,-0.625419421,0.123404788,-5.068032045,4.02E-07,0.000210391
ENSG00000139914.6,63.98658677,0.63134081,0.124651427,5.064850236,4.09E-07,0.000210835
ENSG00000120068.6,11.99145825,-0.768399586,0.151807253,-5.061679012,4.16E-07,0.000211311
ENSG00000204977.8,2088.087983,0.251167072,0.0497385,5.049751683,4.42E-07,0.000219924
ENSG00000074276.9,11.47051222,-0.719567132,0.142525847,-5.048678158,4.45E-07,0.000219924
ENSG00000268307.1,109.4370582,0.606208063,0.120561447,5.028208261,4.95E-07,0.000241391
ENSG00000180209.10,44.80205547,1.08191926,0.215329885,5.024473304,5.05E-07,0.00024281
ENSG00000129596.4,864.6010788,0.961375399,0.19146866,5.021058791,5.14E-07,0.000243832
ENSG00000213694.3,1413.410338,-0.523185274,0.104250384,-5.018545289,5.21E-07,0.000243832
ENSG00000188315.6,754.2705224,0.224770254,0.045129225,4.980591889,6.34E-07,0.000293019
ENSG00000161270.18,2.913776383,-1.138579095,0.228770936,-4.976939438,6.46E-07,0.000294772
ENSG00000130528.10,161.4541665,0.72895259,0.146948297,4.960605898,7.03E-07,0.000316614
ENSG00000145920.13,41.19447635,0.904257693,0.183087869,4.938927405,7.86E-07,0.000349494
ENSG00000125459.13,679.3877084,0.236865614,0.048271052,4.906990905,9.25E-07,0.000406394
